name,time,currentVisitors
Vesturbæjarlaug,2021-11-05T11:05:03Z,132
Árbæjarlaug,2021-11-05T11:10:02Z,90
Breiðholtslaug,2021-11-05T11:10:02Z,102
Grafarvogslaug,2021-11-05T11:10:02Z,78
Laugardalslaug,2021-11-05T11:10:02Z,81
Sundhöll Reykjavíkur,2021-11-05T11:10:02Z,118
Vesturbæjarlaug,2021-11-05T11:10:02Z,134
Árbæjarlaug,2021-11-05T11:15:02Z,91
Breiðholtslaug,2021-11-05T11:15:02Z,103
Grafarvogslaug,2021-11-05T11:15:02Z,79
Laugardalslaug,2021-11-05T11:15:02Z,83
Sundhöll Reykjavíkur,2021-11-05T11:15:02Z,122
Vesturbæjarlaug,2021-11-05T11:15:02Z,135
Árbæjarlaug,2021-11-05T11:20:03Z,91
Breiðholtslaug,2021-11-05T11:20:03Z,104
Grafarvogslaug,2021-11-05T11:20:03Z,79
Laugardalslaug,2021-11-05T11:20:03Z,82
Sundhöll Reykjavíkur,2021-11-05T11:20:03Z,123
Vesturbæjarlaug,2021-11-05T11:20:03Z,135
Árbæjarlaug,2021-11-05T11:25:02Z,92
Breiðholtslaug,2021-11-05T11:25:02Z,104
Grafarvogslaug,2021-11-05T11:25:02Z,80
Laugardalslaug,2021-11-05T11:25:02Z,81
Sundhöll Reykjavíkur,2021-11-05T11:25:02Z,125
Vesturbæjarlaug,2021-11-05T11:25:02Z,138
Árbæjarlaug,2021-11-05T11:30:02Z,92
Breiðholtslaug,2021-11-05T11:30:02Z,105
Grafarvogslaug,2021-11-05T11:30:02Z,82
Laugardalslaug,2021-11-05T11:30:02Z,81
Sundhöll Reykjavíkur,2021-11-05T11:30:02Z,126
Vesturbæjarlaug,2021-11-05T11:30:02Z,141
Árbæjarlaug,2021-11-05T11:35:02Z,93
Breiðholtslaug,2021-11-05T11:35:02Z,105
Grafarvogslaug,2021-11-05T11:35:02Z,83
Laugardalslaug,2021-11-05T11:35:02Z,83
Sundhöll Reykjavíkur,2021-11-05T11:35:02Z,126
Vesturbæjarlaug,2021-11-05T11:35:02Z,143
Árbæjarlaug,2021-11-05T11:40:02Z,93
Breiðholtslaug,2021-11-05T11:40:02Z,105
Grafarvogslaug,2021-11-05T11:40:02Z,84
Laugardalslaug,2021-11-05T11:40:02Z,78
Sundhöll Reykjavíkur,2021-11-05T11:40:02Z,130
Vesturbæjarlaug,2021-11-05T11:40:02Z,148
Árbæjarlaug,2021-11-05T11:45:02Z,94
Breiðholtslaug,2021-11-05T11:45:02Z,105
Grafarvogslaug,2021-11-05T11:45:02Z,85
Laugardalslaug,2021-11-05T11:45:02Z,76
Sundhöll Reykjavíkur,2021-11-05T11:45:02Z,130
Vesturbæjarlaug,2021-11-05T11:45:02Z,153
Árbæjarlaug,2021-11-05T11:50:02Z,94
Breiðholtslaug,2021-11-05T11:50:02Z,106
Grafarvogslaug,2021-11-05T11:50:02Z,85
Laugardalslaug,2021-11-05T11:50:02Z,74
Sundhöll Reykjavíkur,2021-11-05T11:50:02Z,133
Vesturbæjarlaug,2021-11-05T11:50:02Z,155
Árbæjarlaug,2021-11-05T11:55:03Z,96
Breiðholtslaug,2021-11-05T11:55:03Z,107
Grafarvogslaug,2021-11-05T11:55:03Z,85
Laugardalslaug,2021-11-05T11:55:03Z,75
Sundhöll Reykjavíkur,2021-11-05T11:55:03Z,135
Vesturbæjarlaug,2021-11-05T11:55:03Z,157
Árbæjarlaug,2021-11-05T12:00:02Z,98
Breiðholtslaug,2021-11-05T12:00:02Z,110
Grafarvogslaug,2021-11-05T12:00:02Z,85
Laugardalslaug,2021-11-05T12:00:02Z,78
Sundhöll Reykjavíkur,2021-11-05T12:00:02Z,140
Vesturbæjarlaug,2021-11-05T12:00:02Z,158
Árbæjarlaug,2021-11-05T12:05:02Z,99
Breiðholtslaug,2021-11-05T12:05:02Z,113
Grafarvogslaug,2021-11-05T12:05:02Z,88
Laugardalslaug,2021-11-05T12:05:02Z,79
Sundhöll Reykjavíkur,2021-11-05T12:05:02Z,140
Vesturbæjarlaug,2021-11-05T12:05:02Z,160
Árbæjarlaug,2021-11-05T12:10:02Z,100
Breiðholtslaug,2021-11-05T12:10:02Z,116
Grafarvogslaug,2021-11-05T12:10:02Z,88
Laugardalslaug,2021-11-05T12:10:02Z,83
Sundhöll Reykjavíkur,2021-11-05T12:10:02Z,144
Vesturbæjarlaug,2021-11-05T12:10:02Z,160
Árbæjarlaug,2021-11-05T12:15:02Z,102
Breiðholtslaug,2021-11-05T12:15:02Z,118
Grafarvogslaug,2021-11-05T12:15:02Z,90
Laugardalslaug,2021-11-05T12:15:02Z,83
Sundhöll Reykjavíkur,2021-11-05T12:15:02Z,148
Vesturbæjarlaug,2021-11-05T12:15:02Z,164
Árbæjarlaug,2021-11-05T12:20:02Z,102
Breiðholtslaug,2021-11-05T12:20:02Z,118
Grafarvogslaug,2021-11-05T12:20:02Z,92
Laugardalslaug,2021-11-05T12:20:02Z,83
Sundhöll Reykjavíkur,2021-11-05T12:20:02Z,154
Vesturbæjarlaug,2021-11-05T12:20:02Z,167
Árbæjarlaug,2021-11-05T12:25:02Z,102
Breiðholtslaug,2021-11-05T12:25:02Z,118
Grafarvogslaug,2021-11-05T12:25:02Z,92
Laugardalslaug,2021-11-05T12:25:02Z,79
